title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 13 256GB Blue (MLQA3HU/A),34999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_blue.html,True,iPhone 13 ,256GB,Blue,MLQA3HU/A
iPhone 12 128GB Green (MGJF3FS/A),25499.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-12-128gb-green.html,True,iPhone 12 ,128GB,Green,MGJF3FS/A
iPhone 13 512GB Starlight (MLQD3HU/A),39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_64gb_white.html,True,iPhone 13 ,512GB,Starlight,MLQD3HU/A
iPhone 14 Plus 128GB Starlight,37999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_starlight.html,True,iPhone 14 Plus,128GB,Starlight,
iPhone 15 Pro Max 1TB Black Titanium (MU7G3RX/A),83499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_max_1tb_space_black.html,True,iPhone 15 Pro Max,1TB,Black Titanium,MU7G3RX/A
iPhone 13 256GB (PRODUCT) RED (MLQ93HU/A),34999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_red.html,True,iPhone 13 ,256GB,(PRODUCT) RED,MLQ93HU/A
iPhone 14 Plus 512GB Blue,48999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_plus_512gb_blue.html,True,iPhone 14 Plus,512GB,Blue,
iPhone 14 256GB Midnight (APPLE_NEW2022_008),39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_256gb_midnight.html,True,iPhone 14 ,256GB,Midnight,
iPhone 14 Plus 128GB Purple,37999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_pink.html,True,iPhone 14 Plus,128GB,Purple,
iPhone 14 Pro 256GB Space Black,52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_256gb_graphite.html,True,iPhone 14 Pro,256GB,Space Black,
iPhone 14 Plus 128GB PRODUCT RED (APPLE_NEW2022_016),37999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_product_red.html,True,iPhone 14 Plus,128GB,PRODUCT RED,
iPhone 13 512GB Blue (MLQG3HU/A),39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_64gb_blue.html,True,iPhone 13 ,512GB,Blue,MLQG3HU/A
iPhone 13 128GB Blue (MLPK3HU/A),29999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_blue.html,True,iPhone 13 ,128GB,Blue,MLPK3HU/A
iPhone 14 256GB Starlight,39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_256gb_starlight.html,True,iPhone 14 ,256GB,Starlight,
iPhone 15 256GB Pink (MTP73RX/A),43499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_256gb_purple.html,True,iPhone 15 ,256GB,Pink,MTP73RX/A
iPhone 14 Plus 128GB Blue,37999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_blue.html,True,iPhone 14 Plus,128GB,Blue,
iPhone 15 Pro 1TB Blue Titanium (MTVG3RX/A),78499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_1tb_gold.html,True,iPhone 15 Pro,1TB,Blue Titanium,MTVG3RX/A
