config.logging_config 2023-12-13 17:38:43,266 WARNING No matches to `model_number_pattern` in `title_copy`. Title: PRODUCT Red (APPLE_NEW2022_001)
config.logging_config 2023-12-13 17:38:43,266 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-13 17:38:43,267 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple
config.logging_config 2023-12-13 17:38:43,267 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple (APPLE_NEW2022_042)
config.logging_config 2023-12-13 17:38:43,267 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple
config.logging_config 2023-12-13 17:38:43,267 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:38:43,268 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold (APPLE_NEW2022_044)
config.logging_config 2023-12-13 17:38:43,268 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-13 17:38:43,268 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:38:43,268 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple
config.logging_config 2023-12-13 17:38:43,268 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple
config.logging_config 2023-12-13 17:38:43,268 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Midnight (APPLE_NEW2022_008)
config.logging_config 2023-12-13 17:38:43,268 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold (APPLE_NEW2022_031)
config.logging_config 2023-12-13 17:38:43,268 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Silver (APPLE_NEW2022_056)
config.logging_config 2023-12-13 17:38:43,269 WARNING No matches to `model_number_pattern` in `title_copy`. Title: PRODUCT RED (APPLE_NEW2022_016)
config.logging_config 2023-12-13 17:38:43,269 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Silver
config.logging_config 2023-12-13 17:38:43,269 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:38:43,269 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:38:43,269 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Yellow
config.logging_config 2023-12-13 17:38:43,270 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Silver
config.logging_config 2023-12-13 17:38:43,270 WARNING No matches to `model_number_pattern` in `title_copy`. Title: 2022  (PRODUCT) RED A2783
config.logging_config 2023-12-13 17:38:43,270 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Yellow
config.logging_config 2023-12-13 17:42:51,190 INFO Heading to https://www.foxtrot.com.ua/uk/shop/odessa/mobilnye_telefony_apple.html
config.logging_config 2023-12-13 17:42:52,748 INFO Status code: 200
config.logging_config 2023-12-13 17:42:56,305 INFO 'Load more' button is clicked.
config.logging_config 2023-12-13 17:42:57,393 INFO 'Load more' button is clicked.
config.logging_config 2023-12-13 17:43:01,162 INFO 'Load more' button is clicked.
config.logging_config 2023-12-13 17:43:08,171 WARNING 'Load more' button is not visible. Proceeding.
config.logging_config 2023-12-13 17:43:10,445 INFO Headless browser was closed.
config.logging_config 2023-12-13 17:43:10,466 INFO Amount of items parsed: 112
config.logging_config 2023-12-13 17:43:10,469 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple
config.logging_config 2023-12-13 17:43:10,469 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple
config.logging_config 2023-12-13 17:43:10,469 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-13 17:43:10,469 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Midnight
config.logging_config 2023-12-13 17:43:10,470 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Midnight
config.logging_config 2023-12-13 17:43:10,470 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple (APPLE_NEW2022_004)
config.logging_config 2023-12-13 17:43:10,470 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:43:10,470 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:43:10,470 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:43:10,470 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:43:10,470 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-13 17:43:10,470 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:43:10,470 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:43:10,471 WARNING No matches to `model_number_pattern` in `title_copy`. Title: (PRODUCT) RED
config.logging_config 2023-12-13 17:43:10,471 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:43:10,471 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple (APPLE_NEW2022_051)
config.logging_config 2023-12-13 17:43:10,471 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:43:10,471 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:43:10,471 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:43:10,471 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:43:10,471 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:43:10,471 WARNING No matches to `model_number_pattern` in `title_copy`. Title: (PRODUCT) RED
