title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 15 Plus 256GB Green (MU1G3RX/A),52499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-plus-256gb-green-mu1g3rx/p71465471/,True,iPhone 15 Plus,256GB,Green,MU1G3RX/A
iPhone 11 64GB Black (MHDA3FS/A),20999.0,UAH,https://eldorado.ua/uk/smartfon-apple-i-phone-11-64-gb-black-71273809/p71273809/,True,iPhone 11 ,64GB,Black,MHDA3FS/A
iPhone 15 128GB Yellow (MTP23RX/A),42499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-128gb-yellow-mtp23rx/p71465449/,True,iPhone 15 ,128GB,Yellow,MTP23RX/A
iPhone 14 Pro 512GB Gold (MQ233RX/A),,,https://eldorado.ua/uk/smartfon-apple-iphone-14-pro-512gb-gold/p71419399/,False,iPhone 14 Pro,512GB,Gold,MQ233RX/A
iPhone 15 128GB Green (MTP53RX/A),42499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-128gb-green-mtp53rx/p71465451/,True,iPhone 15 ,128GB,Green,MTP53RX/A
iPhone 12 128GB Black (MGJA3FS/A),27499.0,UAH,https://eldorado.ua/uk/smartfon-apple-i-phone-12-128-gb-black/p71300685/,True,iPhone 12 ,128GB,Black,MGJA3FS/A
iPhone 14 Pro 512GB Deep Purple (MQ293RX/A),,,https://eldorado.ua/uk/smartfon-apple-iphone-14-pro-512gb-deep-purple/p71419400/,False,iPhone 14 Pro,512GB,Deep Purple,MQ293RX/A
iPhone 15 256GB Black (MTP63RX/A),47499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-256gb-black-mtp63rx/p71465452/,True,iPhone 15 ,256GB,Black,MTP63RX/A
iPhone 14 Pro 1TB Space Black (MQ2G3RX/A),,,https://eldorado.ua/uk/smartfon-apple-iphone-14-pro-1tb-space-black/p71419401/,False,iPhone 14 Pro,1TB,Space Black,MQ2G3RX/A
iPhone 15 256GB Pink (MTP73RX/A),47499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-256gb-pink-mtp73rx/p71465453/,True,iPhone 15 ,256GB,Pink,MTP73RX/A
iPhone 14 Pro 1TB Gold (MQ2V3RX/A),,,https://eldorado.ua/uk/smartfon-apple-iphone-14-pro-1tb-gold/p71419403/,False,iPhone 14 Pro,1TB,Gold,MQ2V3RX/A
iPhone 15 256GB Blue (MTP93RX/A),47499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-256gb-blue-mtp93rx/p71465455/,True,iPhone 15 ,256GB,Blue,MTP93RX/A
iPhone 14 Pro 1TB Deep Purple (MQ323RX/A),,,https://eldorado.ua/uk/smartfon-apple-iphone-14-pro-1tb-deep-purple/p71419404/,False,iPhone 14 Pro,1TB,Deep Purple,MQ323RX/A
iPhone 15 256GB Green (MTPA3RX/A),47499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-256gb-green-mtpa3rx/p71465456/,True,iPhone 15 ,256GB,Green,MTPA3RX/A
iPhone 14 512GB Midnight (MPWW3RX/A),,,https://eldorado.ua/uk/smartfon-apple-iphone-14-512gb-midnight/p71419369/,False,iPhone 14 ,512GB,Midnight,MPWW3RX/A
iPhone 15 512GB Black (MTPC3RX/A),57499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-512gb-black-mtpc3rx/p71465457/,True,iPhone 15 ,512GB,Black,MTPC3RX/A
iPhone 14 512GB Purple (MPX93RX/A),54499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-14-512gb-purple/p71419370/,True,iPhone 14 ,512GB,Purple,MPX93RX/A
