title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 14 Pro 256GB Space Black,52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_256gb_graphite.html,True,iPhone 14 Pro,256GB,Space Black,
iPhone 13 256GB (PRODUCT) RED (MLQ93HU/A),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_red.html,True,iPhone 13 ,256GB,(PRODUCT) RED,MLQ93HU/A
iPhone 14 Pro Max 128GB Gold (APPLE_NEW2022_044),52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_128gb_gold.html,True,iPhone 14 Pro Max,128GB,Gold,
iPhone 14 Pro 128GB Gold,47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_128gb_gold.html,True,iPhone 14 Pro,128GB,Gold,
iPhone 15 Pro 256GB Black Titanium (MTV13RX/A),58499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_256gb_space_black.html,True,iPhone 15 Pro,256GB,Black Titanium,MTV13RX/A
iPhone 15 Plus  128GB Green (MU173RX/A),47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_plus_128gb_starlight.html,True,iPhone 15 Plus,128GB,Green,MU173RX/A
iPhone 14 Pro Max 512GB Space Black,67499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_512gb_graphite.html,True,iPhone 14 Pro Max,512GB,Space Black,
iPhone 13 512GB Starlight (MLQD3HU/A),39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_64gb_white.html,True,iPhone 13 ,512GB,Starlight,MLQD3HU/A
iPhone 14 Plus 256GB Purple,46999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_256gb_pink.html,True,iPhone 14 Plus,256GB,Purple,
iPhone 15 Pro Max 1TB Blue Titanium (MU7K3RX/A),83499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_max_1tb_gold.html,True,iPhone 15 Pro Max,1TB,Blue Titanium,MU7K3RX/A
iPhone 14 Pro Max 512GB Deep Purple,67499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_512gb_sierra_blue.html,True,iPhone 14 Pro Max,512GB,Deep Purple,
iPhone 14 256GB Midnight (APPLE_NEW2022_008),41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_256gb_midnight.html,True,iPhone 14 ,256GB,Midnight,
iPhone 15 Pro 1TB Blue Titanium (MTVG3RX/A),78499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_1tb_gold.html,True,iPhone 15 Pro,1TB,Blue Titanium,MTVG3RX/A
iPhone 14 Pro 1TB Gold (APPLE_NEW2022_031),72499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_1tb_gold.html,True,iPhone 14 Pro,1TB,Gold,
iPhone 14 Pro Max 256GB Silver (APPLE_NEW2022_056),57499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_256gb_silver.html,True,iPhone 14 Pro Max,256GB,Silver,
iPhone 14 Plus 128GB PRODUCT RED (APPLE_NEW2022_016),41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_product_red.html,True,iPhone 14 Plus,128GB,PRODUCT RED,
iPhone 13 512GB Blue (MLQG3HU/A),39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_64gb_blue.html,True,iPhone 13 ,512GB,Blue,MLQG3HU/A
iPhone 13 256GB Pink (MLQ83HU/A),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_purple.html,True,iPhone 13 ,256GB,Pink,MLQ83HU/A
iPhone 13 512GB Pink (MLQE3HU/A),39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_64gb_purple.html,True,iPhone 13 ,512GB,Pink,MLQE3HU/A
iPhone 14 Pro 1TB Silver,72499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_1tb_silver.html,True,iPhone 14 Pro,1TB,Silver,
iPhone 14 Pro 512GB Space Black,62499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_512gb_graphite.html,True,iPhone 14 Pro,512GB,Space Black,
